,app_name,exercise_segment,facility,fromhost_ip,hostname,message,procid,programname,severity,timegenerated,timereported,timestamp
93097,gendpoint,global,3,10.7.100.7,global-app, [GIN] 2019/03/19 - 11:25:38 | 200 #033[0m|     1.02486ms |       10.6.2.27 |  GET #033[0m    /api/v1/incidents,25534.0,gendpoint,6,2019-03-19T11:25:38.950795+01:00,2019-03-19T11:25:38+01:00,1552991138950
156006,gendpoint,global,3,10.7.100.7,global-app, [GIN] 2019/03/19 - 11:42:46 | 200 #033[0m|    3.533741ms |       10.4.2.27 |  GET #033[0m    /api/v1/connection-check,25466.0,gendpoint,6,2019-03-19T11:42:46.531394+01:00,2019-03-19T11:42:46+01:00,1552992166531
159280,gendpoint,global,3,10.7.100.7,global-app, [GIN] 2019/03/19 - 11:43:39 | 200 #033[0m|      520.09µs |       10.1.2.27 |  GET #033[0m    /api/v1/stratum-one,25367.0,gendpoint,6,2019-03-19T11:43:39.244463+01:00,2019-03-19T11:43:39+01:00,1552992219244
82002,gendpoint,global,3,10.7.100.7,global-app, [GIN] 2019/03/19 - 11:22:40 | 200 #033[0m|    3.525737ms |       10.4.2.27 |  GET #033[0m    /api/v1/connection-check,25466.0,gendpoint,6,2019-03-19T11:22:40.733026+01:00,2019-03-19T11:22:40+01:00,1552990960733
181540,gendpoint,global,3,10.7.100.7,global-app," time=""2019-03-19T11:48:56+01:00"" level=info msg=""10.6.2.27 - global-app [19/Mar/2019:11:48:56 +0100] \""GET /api/v1/units/status\"" 200 1452 \""\"" \""Go-http-client/1.1\"" (9ms)"" clientIP=10.6.2.27 dataLength=1452 hostname=global-app latency=9 method=GET path=/api/v1/units/status referer= statusCode=200 userAgent=Go-http-client/1.1",25534.0,gendpoint,6,2019-03-19T11:48:56.641688+01:00,2019-03-19T11:48:56+01:00,1552992536641
155808,gendpoint,global,3,10.7.100.7,global-app, [GIN] 2019/03/19 - 11:42:42 | 200 #033[0m|     978.421µs |       10.6.2.27 |  GET #033[0m    /api/v1/incidents,25534.0,gendpoint,6,2019-03-19T11:42:42.377455+01:00,2019-03-19T11:42:42+01:00,1552992162377
4473,gendpoint,global,3,10.7.100.7,global-app, [GIN] 2019/03/19 - 11:01:13 | 200 #033[0m|    5.083174ms |       10.1.2.27 |  GET #033[0m    /api/v1/connection-check,25367.0,gendpoint,6,2019-03-19T11:01:13.765652+01:00,2019-03-19T11:01:13+01:00,1552989673765
133287,gendpoint,global,3,10.7.100.7,global-app," time=""2019-03-19T11:36:33+01:00"" level=info msg=""10.1.2.27 - global-app [19/Mar/2019:11:36:33 +0100] \""GET /api/v1/stratum-one\"" 200 31 \""\"" \""Go-http-client/1.1\"" (1ms)"" clientIP=10.1.2.27 dataLength=31 hostname=global-app latency=1 method=GET path=/api/v1/stratum-one referer= statusCode=200 userAgent=Go-http-client/1.1",25367.0,gendpoint,6,2019-03-19T11:36:33.489275+01:00,2019-03-19T11:36:33+01:00,1552991793489
14972,sudo,blue-team-1,10,10.7.101.45,desktop4,   nagios : problem with defaults entries ; TTY=unknown ; PWD=/ ;,,sudo,1,2019-03-19T11:04:08.386207+01:00,2019-03-19T11:04:08+01:00,1552989848386
39212,gendpoint,global,3,10.7.100.7,global-app," time=""2019-03-19T11:10:57+01:00"" level=info msg=""10.1.2.27 - global-app [19/Mar/2019:11:10:57 +0100] \""GET /api/v1/connection-check\"" 200 2 \""\"" \""Go-http-client/1.1\"" (5ms)"" clientIP=10.1.2.27 dataLength=2 hostname=global-app latency=5 method=GET path=/api/v1/connection-check referer= statusCode=200 userAgent=Go-http-client/1.1",25367.0,gendpoint,6,2019-03-19T11:10:57.046824+01:00,2019-03-19T11:10:57+01:00,1552990257046
20212,sudo,blue-team-3,10,10.7.103.44,desktop3,     kypo : problem with defaults entries ; TTY=unknown ; PWD=/ ;,,sudo,1,2019-03-19T11:05:43.529607+01:00,2019-03-19T11:05:43+01:00,1552989943529
40113,gendpoint,global,3,10.7.100.7,global-app," time=""2019-03-19T11:11:11+01:00"" level=info msg=""10.6.2.27 - global-app [19/Mar/2019:11:11:11 +0100] \""GET /api/v1/connection-check\"" 200 2 \""\"" \""Go-http-client/1.1\"" (5ms)"" clientIP=10.6.2.27 dataLength=2 hostname=global-app latency=5 method=GET path=/api/v1/connection-check referer= statusCode=200 userAgent=Go-http-client/1.1",25534.0,gendpoint,6,2019-03-19T11:11:11.542083+01:00,2019-03-19T11:11:11+01:00,1552990271542
72433,gendpoint,global,3,10.7.100.7,global-app, [GIN] 2019/03/19 - 11:20:06 | 200 #033[0m|     801.249µs |       10.1.2.27 |  GET #033[0m    /api/v1/stratum-one,25367.0,gendpoint,6,2019-03-19T11:20:06.026254+01:00,2019-03-19T11:20:06+01:00,1552990806026
27866,gendpoint,global,3,10.7.100.7,global-app," time=""2019-03-19T11:07:48+01:00"" level=info msg=""10.1.2.27 - global-app [19/Mar/2019:11:07:48 +0100] \""GET /api/v1/stratum-one\"" 200 31 \""\"" \""Go-http-client/1.1\"" (1ms)"" clientIP=10.1.2.27 dataLength=31 hostname=global-app latency=1 method=GET path=/api/v1/stratum-one referer= statusCode=200 userAgent=Go-http-client/1.1",25367.0,gendpoint,6,2019-03-19T11:07:48.046501+01:00,2019-03-19T11:07:48+01:00,1552990068046
101519,gendpoint,global,3,10.7.100.7,global-app," time=""2019-03-19T11:27:58+01:00"" level=info msg=""10.1.2.27 - global-app [19/Mar/2019:11:27:58 +0100] \""GET /api/v1/stratum-one\"" 200 31 \""\"" \""Go-http-client/1.1\"" (1ms)"" clientIP=10.1.2.27 dataLength=31 hostname=global-app latency=1 method=GET path=/api/v1/stratum-one referer= statusCode=200 userAgent=Go-http-client/1.1",25367.0,gendpoint,6,2019-03-19T11:27:58.104483+01:00,2019-03-19T11:27:58+01:00,1552991278104
73034,gendpoint,global,3,10.7.100.7,global-app, [GIN] 2019/03/19 - 11:20:18 | 200 #033[0m|    6.938996ms |       10.4.2.27 |  GET #033[0m    /api/v1/units/status,25466.0,gendpoint,6,2019-03-19T11:20:18.823391+01:00,2019-03-19T11:20:18+01:00,1552990818823
78049,sudo,blue-team-4,10,10.7.104.45,desktop4,     kypo : problem with defaults entries ; TTY=unknown ; PWD=/ ;,,sudo,1,2019-03-19T11:21:30.506199+01:00,2019-03-19T11:21:30+01:00,1552990890506
67799,gendpoint,global,3,10.7.100.7,global-app, [GIN] 2019/03/19 - 11:18:41 | 200 #033[0m|    7.565354ms |       10.1.2.27 |  GET #033[0m    /api/v1/units/status,25367.0,gendpoint,6,2019-03-19T11:18:41.373282+01:00,2019-03-19T11:18:41+01:00,1552990721373
176207,gendpoint,global,3,10.7.100.7,global-app, [GIN] 2019/03/19 - 11:47:45 | 200 #033[0m|     1.19213ms |       10.5.2.27 |  GET #033[0m    /api/v1/incidents,25498.0,gendpoint,6,2019-03-19T11:47:45.969750+01:00,2019-03-19T11:47:45+01:00,1552992465969
